        x1          y1         x2          y2         x3           y3        x4          y4          x5          y5
 8.2717349  1.84452367 7.84031506  0.40222193 9.88627138  0.300712111 8.0810545 -1.27192313 5.702114664 -1.01679480
 9.3869257 -1.66481549 5.14717092  0.22930834 8.51582995  0.278538992 4.1479026  0.05213472 0.324269172  0.25855350
 3.3557430  0.44506300 6.39559182 -0.10417721 5.26144735 -0.776719018 4.7564457  0.25564474 2.327348804  1.88344902
 2.1774783  1.27599344 9.67709156 -1.23593042 8.35468088 -0.038180347 6.2674083  0.53572832 8.314797727 -1.43734372
 4.8768531 -1.34311337 1.48008548  0.79623198 3.99620028  0.104034925 3.4999357  0.23477069 4.932690198 -0.80345806
 2.5003235 -0.39867902 7.77877885 -2.60045147 0.99378336  0.495094689 0.9423114 -0.20594091 7.414334351 -1.63586529
 5.3731068 -0.01374006 8.59875386 -2.07862987 3.97150067  0.464789749 8.3767990  0.50852060 0.509340998  1.23343218
 7.2619682  1.36223645 5.81501087 -0.90019773 6.84818473  1.083704063 0.6450191  0.28049318 9.715904577  0.26302782
 6.0809462 -0.59900096 2.04733445  0.36452175 4.09690273  0.857849113 2.2675378  2.45545057 3.911857358  1.33816806
 1.1952858 -0.34386001 3.11400553  0.66836308 7.81027222  0.789595722 6.8853036  1.08994394 0.810957400  0.59439005
 3.8955103 -0.39522416 3.85098770  0.96103822 7.37931549 -1.730158963 1.4804040  0.94384022 9.567737721 -3.59889046
 4.0602276 -0.09985082 9.86070208 -1.94610479 6.01582836  1.274131214 1.4666735  1.02717032 1.815112808 -0.71095816
 2.8488998  0.45055432 6.07858761 -0.11424415 4.37639562 -0.141612259 8.0633160 -0.65687708 0.785339600  3.11305528
 9.9383921  0.01002343 7.18160111 -0.22897553 1.17675781  1.438006740 9.5553758 -1.20659545 6.129004329 -1.13817268
 7.3924464 -1.53575134 1.92170355  0.58621634 4.57262874 -0.595247333 4.3325129  0.23559546 0.003254474  0.66892679
 1.5482388  1.05146522 6.83272110 -0.90929408 3.00083927  0.231203578 6.8054904 -0.88815477 8.533037794  0.06896398
 2.7925262  1.45663263 8.60459387 -1.08098230 0.64866228  0.006437202 1.7499785  1.77778158 0.632731852  0.67887377
 4.2957525  1.85599188 8.97342287  0.76692314 8.65127934  0.011179020 7.8707314 -0.50561254 4.490355707  1.24595449
 7.2671650 -1.84622979 8.26056145  0.62370599 5.11613441 -0.705637281 3.3368058  1.06802421 9.752228076 -0.50807579
 7.3622151 -0.88594768 7.48632611  1.14614557 2.86026513  1.386720714 2.0420571  0.56722483 8.272467628 -0.73922198
